season,guest_star,episode_production_code
1,Sam McMurray,7G03
1,Ron Taylor,7G06
1,Albert Brooks,7G09
1,Albert Brooks,7G11
1,Sam McMurray,7G10
1,Kelsey Grammer,7G12
1,June Foray,7G01
1,Penny Marshall,7G01
1,Paul Willson,7G01
2,Harvey Fierstein,7F02
2,James Earl Jones,7F04
2,Tony Bennett,7F05
2,Daryl Coley,7F05
2,Ken Levine,7F05
2,Tom Poston,7F05
2,Greg Berg,7F07
2,Alex Rocco,7F09
2,Phil Hartman,7F10
2,Larry King,7F11
2,Joey Miyashima,7F11
2,Sab Shimono,7F11
2,George Takei,7F11
2,Diana Tanaka,7F11
2,Jon Lovitz,7F12
2,Phil Hartman,7F13
2,Danny DeVito,7F16
2,Tracey Ullman,7F14
2,Frank Welker,7F14
2,Phil Hartman,7F17
2,Audrey Meadows,7F17
2,Jon Lovitz,7F18
2,Ringo Starr,7F18
2,Dustin Hoffman,7F19
2,Cloris Leachman,7F21
2,Daniel Stern,7F21
3,Michael Jackson,7F24
3,Kipp Lennon,7F24
3,Lona Williams,8F01
3,Neil Patrick Harris,8F03
3,Phil Hartman,8F03
3,Joe Mantegna,8F03
3,Chick Hearn,8F04
3,Magic Johnson,8F04
3,Jon Lovitz,8F04
3,Jackie Mason,8F05
3,Frank Welker,8F06
3,Phil Hartman,8F07
3,Larry McKay,8F07
3,Aerosmith,8F08
3,Phil Hartman,8F08
3,Phil Hartman,8F09
3,Sting,8F11
3,Phil Hartman,8F12
3,Phil Hartman,8F14
3,Wade Boggs,8F13
3,Jose Canseco,8F13
3,Roger Clemens,8F13
3,Terry Cashman,8F13
3,Ken Griffey Jr.,8F13
3,Don Mattingly,8F13
3,Steve Sax,8F13
3,Mike Scioscia,8F13
3,Ozzie Smith,8F13
3,Darryl Strawberry,8F13
3,Steve Allen,8F15
3,Frank Welker,8F17
3,Beverly D'Angelo,8F19
3,Kelsey Grammer,8F20
3,Christopher Guest,8F21
3,Michael McKean,8F21
3,Phil Hartman,8F22
3,Kimmy Robertson,8F22
3,Danny DeVito,8F23
3,Joe Frazier,8F23
4,Phil Hartman,8F18
4,Jon Lovitz,8F18
4,Lona Williams,8F18
4,Bob Hope,9F02
4,Lona Williams,9F02
4,Phil Hartman,9F05
4,Tom Jones,9F05
4,Sara Gilbert,9F06
4,Phil Hartman,9F06
4,Pamela Reed,9F06
4,Phil Hartman,9F07
4,Linda Ronstadt,9F07
4,Adam West,9F07
4,Elizabeth Taylor,9F08
4,Phil Hartman,9F10
4,Leonard Nimoy,9F10
4,Phil Hartman,9F11
4,Phil Hartman,9F12
4,Michael Carrington,9F13
4,Phil Hartman,9F14
4,Joyce Brothers,9F15
4,Brooke Shields,9F16
4,Barry White,9F18
4,David Crosby,9F20
4,Phil Hartman,9F20
4,Johnny Carson,9F19
4,Hugh Hefner,9F19
4,Bette Midler,9F19
4,Luke Perry,9F19
4,Red Hot Chili Peppers,9F19
4,Elizabeth Taylor,9F19
4,Barry White,9F19
5,David Crosby,9F21
5,The Dapper Dans,9F21
5,George Harrison,9F21
5,Kelsey Grammer,9F22
5,Ramones,1F01
5,Phil Hartman,1F04
5,Frank Welker,1F04
5,George Fenneman,1F03
5,Phil Hartman,1F03
5,Pamela Reed,1F03
5,Albert Brooks,1F05
5,James Brown,1F05
5,Phil Hartman,1F05
5,Ernest Borgnine,1F06
5,Phil Hartman,1F08
5,Werner Klemperer,1F08
5,Michelle Pfeiffer,1F08
5,Gerry Cooney,1F08
5,Robert Goulet,1F08
5,Sam Neill,1F09
5,Conan O'Brien,1F11
5,Michael Carrington,1F10
5,James Woods,1F10
5,Kathleen Turner,1F12
5,Buzz Aldrin,1F13
5,James Taylor,1F13
5,Frank Welker,1F15
5,Phil Hartman,1F16
5,Frank Welker,1F18
5,Phil Hartman,1F19
5,Phil Hartman,1F19
5,Phil Hartman,1F19
6,Winona Ryder,2F02
6,Henry Corden,1F13
6,Dr. Demento,1F13
6,Kelsey Grammer,1F13
6,Phil Hartman,1F13
6,Larry King,1F13
6,James Earl Jones,2F03
6,Meryl Streep,2F04
6,Dennis Franz,2F06
6,Phil Hartman,2F07
6,Anne Bancroft,2F08
6,Ted Danson,2F08
6,Woody Harrelson,2F08
6,John Ratzenberger,2F08
6,Rhea Perlman,2F08
6,George Wendt,2F08
6,Patrick Stewart,2F09
6,Dick Cavett,2F12
6,Joe Mantegna,2F12
6,Johnny Unitas,2F12
6,Phil Hartman,2F13
6,Mel Brooks,2F14
6,Susan Sarandon,2F14
6,Phil Hartman,2F31
6,Maurice LaMarche,2F31
6,Jon Lovitz,2F31
6,Phil Hartman,2F15
6,Mandy Patinkin,2F15
6,Frank Welker,2F18
6,Steve Allen,2F32
6,Phil Hartman,2F32
6,Ron Taylor,2F32
6,Phil Hartman,2F21
6,Tito Puente,2F16
7,Tito Puente,2F20
7,Phil Hartman,2F17
7,Mickey Rooney,2F17
7,Joan Kenley,3F01
7,Frank Welker,3F01
7,Phil Hartman,3F03
7,Linda McCartney,3F03
7,Paul McCartney,3F03
7,Paul Anka,3F04
7,Joan Kenley,3F05
7,Glenn Close,3F06
7,Harry Morgan,3F06
7,R. Lee Ermey,3F08
7,Kelsey Grammer,3F08
7,Phil Hartman,3F31
7,Phil Hartman,3F07
7,Lawrence Tierney,3F07
7,Tom Kite,3F11
7,Phil Hartman,3F12
7,Bob Newhart,3F12
7,Phil Hartman,3F13
7,Donald Sutherland,3F13
7,Kirk Douglas,3F16
7,Phil Hartman,3F16
7,Alex Rocco,3F16
7,Jack Sheldon,3F16
7,Suzanne Somers,3F16
7,Jeff Goldblum,3F15
7,Phil Hartman,3F15
7,Jim Lau,3F17
7,Phil Hartman,3F18
7,Joe Mantegna,3F20
7,Cypress Hill,3F21
7,Peter Frampton,3F21
7,The Smashing Pumpkins,3F21
7,Sonic Youth,3F21
7,Christina Ricci,3F22
8,Phil Hartman,4F02
8,Albert Brooks,3F23
8,Sally Stevens,3F23
8,Michael Buffer,4F03
8,Sally Stevens,4F03
8,Paul Winfield,4F03
8,Rodney Dangerfield,4F05
8,Jon Lovitz,4F07
8,Johnny Cash,3F24
8,Gillian Anderson,3G01
8,David Duchovny,3G01
8,Leonard Nimoy,3G01
8,Joe Mantegna,4F08
8,Jack Lemmon,4F08
8,Phil Hartman,4F12
8,Alex Rocco,4F12
8,John Waters,4F11
8,Kelsey Grammer,4F14
8,David Hyde Pierce,4F14
8,Joe Mantegna,4F15
8,Dave Thomas,4F15
8,Frank Welker,4F16
8,Bret Hart,4F17
8,Denice Kumagai,4F18
8,Karen Maruyama,4F18
8,Sab Shimono,4F18
8,Gedde Watanabe,4F18
8,Frank Welker,4F18
8,Frank Welker,4F19
8,Tim Conway,4F20
8,Phil Hartman,4F20
8,Gailard Sartain,4F20
8,Willem Dafoe,4F19
9,Michael Dees,4F22
9,Joan Kenley,4F22
9,Martin Sheen,4F23
9,Fyvush Finkel,3G02
9,Roy Firestone,5F03
9,Mike Judge,5F03
9,Joe Namath,5F03
9,Jan Hooks,5F04
9,Andrea Martin,5F04
9,Stephen Jay Gould,5F05
9,Phil Hartman,5F05
9,Phil Hartman,5F06
9,Alex Trebek,5F07
9,Jim Varney,5F08
9,Phil Hartman,5F11
9,James Earl Jones,5F11
9,Jack Ong,5F11
9,Bruce Baum,5F10
9,Janeane Garofalo,5F10
9,Bobcat Goldthwait,5F10
9,Jay Leno,5F10
9,Hank Williams Jr.,5F10
9,Steven Wright,5F10
9,Helen Hunt,5F12
9,Phil Hartman,4F24
9,Phil Hartman,5F13
9,Michael Carrington,3G04
9,Bob Denver,3G04
9,Rod Steiger,3G04
9,Paul Winfield,5F14
9,Steve Martin,5F09
9,Paul McGuinness,5F09
9,Susie Smith,5F09
9,U2,5F09
9,Brendan Fraser,5F16
9,Steven Weber,5F16
10,Lisa Kudrow,5F20
10,William Daniels,5F21
10,Phil Hartman,5F22
10,Robert Englund,AABF01
10,Kathie Lee Gifford,AABF01
10,Ed McMahon,AABF01
10,Regis Philbin,AABF01
10,Jerry Springer,AABF01
10,Alec Baldwin,5F19
10,Kim Basinger,5F19
10,Brian Grazer,5F19
10,Ron Howard,5F19
10,George Carlin,AABF02
10,Martin Mull,AABF02
10,Yo La Tengo,AABF02
10,Mark Hamill,AABF05
10,Joe Mantegna,AABF05
10,Dick Tufeld,AABF05
10,The Moody Blues,AABF06
10,Cyndi Lauper,AABF07
10,Troy Aikman,AABF08
10,Rosey Grier,AABF08
10,John Madden,AABF08
10,Dan Marino,AABF08
10,Rupert Murdoch,AABF08
10,Dolly Parton,AABF08
10,Pat Summerall,AABF08
10,Fred Willard,AABF08
10,Ed Begley Jr.,AABF09
10,Jan Hooks,AABF11
10,Elton John,AABF11
10,John Kassir,AABF10
10,Jasper Johns,AABF15
10,Isabella Rossellini,AABF15
10,Jack LaLanne,AABF16
10,NRBQ,AABF16
10,Michael McKean,AABF17
10,Stephen Hawking,AABF18
10,Denice Kumagai,AABF20
10,Karen Maruyama,AABF20
10,George Takei,AABF20
10,Gedde Watanabe,AABF20
10,Keone Young,AABF20
11,Jack Burns,AABF23
11,Mel Gibson,AABF23
11,Mark McGwire,AABF22
11,Edward Asner,AABF21
11,Tom Arnold,BABF01
11,Dick Clark,BABF01
11,Lucy Lawless,BABF01
11,Frank Welker,BABF01
11,The B-52's,AABF19
11,Frank Welker,AABF19
11,Ron Howard,BABF02
11,Penn Jillette,BABF02
11,Pat O'Brien,BABF02
11,Nancy O'Dell,BABF02
11,Teller,BABF02
11,Jan Hooks,BABF03
11,Garry Marshall,BABF03
11,Butch Patrick,BABF03
11,Frank Welker,BABF03
11,John Goodman,BABF05
11,Jan Hooks,BABF05
11,Jay North,BABF05
11,NRBQ,BABF05
11,Henry Winkler,BABF05
11,Clarence Clemons,BABF07
11,Gary Coleman,BABF07
11,Joe Mantegna,BABF07
11,Tim Robbins,BABF07
11,Elwood Edwards,BABF04
11,Don Cheadle,BABF06
11,Joe Mantegna,BABF06
11,Britney Spears,BABF08
11,Randy Bachman,BABF09
11,Jim Cummings,BABF09
11,Trevor Denman,BABF09
11,Fred Turner,BABF09
11,Shawn Colvin,BABF10
11,Frank Welker,BABF10
11,Betty White,BABF11
11,Diedrich Bader,BABF16
11,Joe C.,BABF16
11,Robert Evans,BABF16
11,Kid Rock,BABF16
11,Charlie Rose,BABF16
11,Frank Welker,BABF15
11,Parker Posey,BABF18
11,Marc Wilmore,BABF18
11,Jim Forbes,BABF19
11,Willie Nelson,BABF19
12,Gary Coleman,BABF20
12,Frank Welker,BABF20
12,The Who,BABF20
12,Drew Barrymore,BABF17
12,Stephen King,BABF17
12,Joe Mantegna,BABF17
12,Jay Mohr,BABF17
12,Amy Tan,BABF17
12,John Updike,BABF17
12,Joshua Jackson,CABF01
12,Leeza Gibbons,CABF04
12,Patrick McGoohan,CABF02
12,Edward Norton,CABF03
12,Michael Keaton,CABF05
12,Charles Napier,CABF05
12,Robert Schimmel,CABF05
12,Bruce Vilanch,CABF05
12,Tom Savini,CABF08
12,Andre Agassi,CABF07
12,Pete Sampras,CABF07
12,Serena Williams,CABF07
12,Venus Williams,CABF07
12,Gary Coleman,CABF10
12,Kelsey Grammer,CABF10
12,'N Sync,CABF12
12,Stacy Keach,CABF09
12,Kathy Griffin,CABF11
12,Jan Hooks,CABF11
12,Frank Welker,CABF13
12,Joe Mantegna,CABF14
12,Frankie Muniz,CABF14
12,Shawn Colvin,CABF15
12,Frank Welker,CABF17
13,Pierce Brosnan,CABF19
