writer, episode_code
Judd Apatow,TABF05
Richard Appel,3F06
Richard Appel,3F17
Richard Appel,3F18
Richard Appel,4F06
Richard Appel,4F21
Richard Appel,5F04
Richard Appel,5F19
Gary Apple,9F09
Jack Barth,3F15
Bob Bendetson,CABF17
Bob Bendetson,DABF10
Dick Blasucci,NABF12
Neal Boushell,EABF06
J. Stewart Burns,EABF17
J. Stewart Burns,FABF13
J. Stewart Burns,GABF04
J. Stewart Burns,HABF14
J. Stewart Burns,JABF06
J. Stewart Burns,JABF10
J. Stewart Burns,KABF02
J. Stewart Burns,LABF10
J. Stewart Burns,NABF15
J. Stewart Burns,PABF04
J. Stewart Burns,RABF08
J. Stewart Burns,SABF05
J. Stewart Burns,SABF13
J. Stewart Burns,SABF16
Neil Campbell,TABF04
Bill Canterbury,1F03
Bill Canterbury,1F04
Michael Carrington,9F09
Donick Cary,4F18
Donick Cary,5F03
Donick Cary,5F10
Donick Cary,AABF01
Donick Cary,AABF02
Donick Cary,AABF20
Donick Cary,BABF01
Dan Castellaneta,BABF14
Dan Castellaneta,DABF12
Dan Castellaneta,FABF08
Dan Castellaneta,HABF10
Dan Castellaneta,MABF22
Dan Castellaneta,NABF09
Dan Castellaneta,PABF02
David Chambers,FABF07
Julie Chambers,FABF07
Thomas Chastain,8F20
Daniel Chun,GABF20
Daniel Chun,HABF18
Daniel Chun,HABF21
Daniel Chun,JABF08
Daniel Chun,KABF11
Daniel Chun,LABF14
Chris Cluess,MABF19
David X. Cohen,2F03
David X. Cohen,3F03
David X. Cohen,3F04
David X. Cohen,3F18
David X. Cohen,3F20
David X. Cohen,4F02
David X. Cohen,4F12
David X. Cohen,4F20
David X. Cohen,5F02
David X. Cohen,5F05
David X. Cohen,5F11
David X. Cohen,5F22
David X. Cohen,AABF01
Joel H. Cohen,CABF19
Joel H. Cohen,DABF01
Joel H. Cohen,EABF19
Joel H. Cohen,FABF01
Joel H. Cohen,FABF21
Joel H. Cohen,GABF15
Joel H. Cohen,GABF22
Joel H. Cohen,HABF03
Joel H. Cohen,HABF16
Joel H. Cohen,JABF05
Joel H. Cohen,JABF20
Joel H. Cohen,KABF06
Joel H. Cohen,KABF12
Joel H. Cohen,LABF05
Joel H. Cohen,MABF16
Joel H. Cohen,MABF20
Joel H. Cohen,NABF05
Joel H. Cohen,PABF16
Joel H. Cohen,RABF03
Joel H. Cohen,SABF04
Joel H. Cohen,SABF20
Robert Cohen,8F08
Jonathan Collier,2F04
Jonathan Collier,2F21
Jonathan Collier,3F13
Jonathan Collier,3F18
Jonathan Collier,3F19
Jonathan Collier,4F03
Jennifer Crittenden,2F10
Jennifer Crittenden,2F19
Jennifer Crittenden,3F11
Jennifer Crittenden,3F18
Jennifer Crittenden,4F08
Kevin Curran,DABF19
Kevin Curran,EABF07
Kevin Curran,FABF12
Kevin Curran,GABF10
Kevin Curran,HABF04
Kevin Curran,JABF03
Kevin Curran,KABF17
Kevin Curran,LABF19
Kevin Curran,MABF10
Kevin Curran,NABF02
Kevin Curran,SABF09
Greg Daniels,1F04
Greg Daniels,1F10
Greg Daniels,1F20
Greg Daniels,2F03
Greg Daniels,2F06
Greg Daniels,2F15
Greg Daniels,3F03
Greg Daniels,3F18
Larry Doyle,5F15
Larry Doyle,AABF01
Larry Doyle,AABF07
Larry Doyle,AABF14
Larry Doyle,BABF12
Larry Doyle,BABF18
Larry Doyle,CABF08
John Frink,BABF21
John Frink,BABF17
John Frink,CABF11
John Frink,CABF17
John Frink,CABF19
John Frink,DABF06
John Frink,EABF01
John Frink,EABF14
John Frink,FABF11
John Frink,FABF17
John Frink,GABF16
John Frink,HABF02
John Frink,JABF12
John Frink,KABF13
John Frink,KABF15
John Frink,LABF06
John Frink,MABF07
John Frink,MABF11
John Frink,NABF07
John Frink,NABF14
John Frink,PABF03
John Frink,RABF09
John Frink,SABF14
Peter Gaffney,HABF17
Peter Gaffney,NABF13
Tom Gammill,RABF05
Valentina L. Garza,LABF09
Valentina L. Garza,MABF17
Valentina L. Garza,RABF13
Ricky Gervais,HABF08
Howard Gewirtz,8F04
Stephanie Gillis,GABF21
Stephanie Gillis,JABF21
Stephanie Gillis,KABF21
Stephanie Gillis,LABF20
Stephanie Gillis,MABF13
Stephanie Gillis,NABF21
Stephanie Gillis,PABF22
Stephanie Gillis,RABF20
Stephanie Gillis,SABF21
Allen Glazier,EABF11
Allen Glazier,FABF04
Allen Glazier,MABF15
Allen Glazier,SABF08
Mitch Glazer,MABF02
Mitch Glazer,RABF19
Evan Goldberg,LABF13
Ned Goldreyer,5F02
Ned Goldreyer,4F24
Dana Gould,CABF20
Dana Gould,DABF17
Dana Gould,EABF10
Dana Gould,EABF20
Dana Gould,HABF07
Dana Gould,JABF19
Dan Greaney,3F05
Dan Greaney,3F22
Dan Greaney,4F02
Dan Greaney,4F13
Dan Greaney,4F20
Dan Greaney,5F06
Dan Greaney,5F13
Dan Greaney,AABF11
Dan Greaney,AABF20
Dan Greaney,BABF13
Dan Greaney,EABF11
Dan Greaney,FABF04
Dan Greaney,GABF18
Dan Greaney,MABF15
Dan Greaney,SABF08
Matt Groening,7G07
Matt Groening,7G01
Matt Groening,8F19
Matt Groening,3F18
Reid Harrison,3G01
Reid Harrison,KABF09
John Harvatine IV,RABF12
Ron Hauge,4F11
Ron Hauge,4F16
Ron Hauge,5F07
Ron Hauge,5F12
